session_id,channel,n,n_valid,n_missing,mean,sd,median,mad,trimmed_mean_10,q1,q3,iqr,min,max,skewness,kurtosis
multi_1728654157.5263371,ay,3262,3262,0,-0.0040278969957081535,1.9989099576883222,-0.0168,0.20104086082935962,-0.0571610344827586,-0.17565,0.1011,0.27675,-6.5296,10.5572,1.7259845408636132,9.791064606290606
multi_1728654157.5263371,az,3262,3262,0,-0.014486817903126918,0.6769483043049673,-0.0013,0.1766520543349425,-0.00544770114942529,-0.1238,0.1111,0.2349,-5.7427,4.3275,-0.5374254512255203,11.8761954330746
multi_1728654157.5263371,wx,3262,3262,0,-0.004061741263028817,0.09361859930560192,-0.0019,0.018829048175021144,-0.0018102681992337166,-0.0155,0.0099,0.0254,-0.686,0.5158,-1.2228012881254708,14.364003299404267
multi_1728654157.5263371,wy,3262,3262,0,0.007746198651134273,0.05903581267437824,0.00745,0.03558245324413445,0.007530996168582375,-0.0149,0.032375,0.047275,-0.392,0.4427,0.16051917555996464,6.441295481716583
multi_1728654157.5263371,wz,3262,3262,0,-0.0005538320049049662,0.021503503826514146,0.0002,0.012898639300998738,-0.00010800766283524846,-0.0092,0.0084,0.017599999999999998,-0.1187,0.1151,-0.13435396776839664,3.5120753181845377
multi_1728654157.5263371,yaw,3262,3262,0,0.8786549969343961,2.9561821789301295,3.0856,0.06330711473018914,1.0972574712643681,-3.0402,3.1135,6.153700000000001,-3.1414,3.1416,-0.5787694293750903,-1.6636709681262878
multi_1728654157.5263371,pitch,3262,3262,0,1.4697919068056406,0.023741585163930986,1.4755,0.02016339017167627,1.4702202681992336,1.4544249999999999,1.4857,0.031275000000000164,1.4228,1.552,-0.0715891117821576,0.016104809278510324
multi_1728654157.5263371,roll,3262,3262,0,2.9438787247087674,0.7952460928433481,3.06305,0.031208776699542612,3.055396743295019,3.0282,3.082,0.05379999999999985,-3.1415,3.1414,-7.4525585509349135,53.80680951930382
multi_1728654157.5263371,acc_mag,3262,3262,0,1.0056553854324437,1.8681023114595745,0.22965112671180168,0.19129449374515564,0.5104017771338528,0.13271235812839735,0.6589843699180615,0.5262720117896642,0.015656947339759433,10.964635708038822,2.790325100995467,7.903942226927093
multi_1728654157.5263371,gravity_mag,3262,3262,0,1.001550606074489,0.2091142349561524,0.9978546211739945,0.02109115956854056,0.9939013805597021,0.9814888269227928,1.0100666017443145,0.028577774821521684,0.36566603615867854,2.3513576780234864,1.8237942622072891,9.779617807583266
multi_1728654157.5263371,gyro_mag,3262,3262,0,0.07064990290937447,0.08829474611416123,0.039933631322950025,0.0382665972199789,0.05134958157559623,0.019279258117307935,0.08119483255711729,0.06191557443980936,0.0015652475842498528,0.6861569062539559,2.982096217961532,11.134830430417693
multi_1728654410.9892302,gFx,3268,3268,0,0.022781211750306,0.03973732549077659,0.0215,0.01749470617836611,0.021872668195718654,0.0098,0.0336,0.023799999999999998,-0.2417,0.2253,-0.13575525892524687,5.905867760721669
multi_1728654410.9892302,gFy,3268,3268,0,-0.9944624541003672,0.08350127463678744,-0.9925,0.02186838272295769,-0.9887458333333333,-1.0055,-0.9749749999999999,0.030525000000000135,-1.4034,-0.7638,-1.0552432215172058,3.5260205299575738
multi_1728654410.9892302,gFz,3268,3268,0,0.10791517747858016,0.05890732228919294,0.1068,0.03291376925082438,0.10619927370030581,0.0838,0.1281,0.04429999999999999,-0.1214,0.4907,0.5605795133939552,4.806172046842365
multi_1728654410.9892302,ax,3268,3268,0,-0.0668609853121175,0.3353114857212231,-0.0477,0.14707414007575573,-0.05811666666666666,-0.15775,0.0411,0.19885,-1.9727,2.0041,-0.20847445521486868,5.634240427087466
